name,ra,dec,d_L,prob_vol,rank,confidence
1159426,196.271,-22.384,35.061,0.005,0,0.5
1332009,194.256,-17.390,26.787,0.005,1,0.5
1688248,194.256,-17.390,26.787,0.005,2,0.5
1328590,196.879,-23.170,39.314,0.004,3,0.5
1329986,196.719,-22.842,32.484,0.004,4,0.5
1171562,196.666,-22.456,45.131,0.004,5,0.5
1326516,197.177,-23.776,37.577,0.004,6,0.5
13085189,193.216,-16.021,24.900,0.004,7,0.5
1151336,197.449,-23.384,41.010,0.003,8,0.5
2409443,197.135,-23.347,44.367,0.003,9,0.5
1263265,197.466,-24.239,36.839,0.003,10,0.5
1164528,197.691,-23.866,40.152,0.003,11,0.5
1151925,196.775,-23.677,41.622,0.003,12,0.5
2406489,196.892,-23.815,42.146,0.003,13,0.9
13090703,193.239,-17.706,35.960,0.003,14,0.9
13106319,194.261,-19.519,35.862,0.003,15,0.9
1331138,197.324,-24.382,36.455,0.003,16,0.9
1261378,197.018,-23.797,32.562,0.003,17,0.9
13280775,197.321,-24.385,39.334,0.003,18,0.9
1325554,196.063,-22.881,37.683,0.002,19,0.9
1159936,196.907,-23.579,46.073,0.002,20,0.9
1330001,197.691,-23.866,32.037,0.002,21,0.9
1151752,196.735,-23.917,41.619,0.002,22,0.9
2395186,193.706,-16.052,47.815,0.002,23,0.9
1329996,197.329,-24.385,31.936,0.002,24,0.9
1329989,196.937,-22.858,26.182,0.002,25,0.9
13142330,193.517,-15.835,21.262,0.002,26,0.9
1326524,196.348,-23.523,38.096,0.002,27,0.9
1151235,196.891,-24.009,47.737,0.001,28,0.9
2414929,198.195,-25.987,39.886,0.001,29,0.9
1325556,196.354,-23.503,43.157,0.001,30,0.9
1264958,193.999,-19.269,42.499,0.001,31,0.9
1171561,196.600,-24.164,39.379,0.001,32,0.9
1169640,196.907,-23.938,50.177,0.001,33,0.9
1329991,197.064,-21.002,33.315,0.001,34,0.9
13280171,196.782,-24.110,27.611,0.001,35,0.9
1151111,194.366,-19.691,49.459,0.001,36,1.0
1324700,193.107,-15.517,51.184,0.001,37,1.0
1329987,196.782,-24.111,26.171,0.001,38,1.0
1156123,199.097,-26.562,46.961,0.001,39,1.0
1263502,194.386,-19.700,51.671,0.001,40,1.0
2395181,193.835,-17.096,55.186,0.001,41,1.0
1331441,193.899,-15.018,26.895,0.000,42,1.0
13457461,199.183,-26.834,47.677,0.000,43,1.0
1261891,192.249,-14.399,50.660,0.000,44,1.0
1263500,193.830,-14.950,44.496,0.000,45,1.0
1330029,199.450,-26.902,34.049,0.000,46,1.0
13105857,193.861,-19.785,38.292,0.000,47,1.0
13320960,196.530,-22.158,57.335,0.000,48,1.0
2402886,194.550,-21.046,41.783,0.000,49,1.0
2400685,194.690,-17.543,55.473,0.000,50,1.0
13042772,192.547,-13.490,46.724,0.000,51,1.0
13384365,198.387,-23.862,50.330,0.000,52,1.0
13217203,195.496,-22.789,44.900,0.000,53,1.0
1264970,197.649,-21.748,38.895,0.000,54,1.0
1172071,192.654,-14.483,52.012,0.000,55,1.0
1261457,192.827,-14.574,52.343,0.000,56,1.0
13136317,193.574,-14.146,28.825,0.000,57,1.0
